orig_no;taxon_no;record_type;flags;taxon_rank;taxon_name;taxon_attr;common_name;difference;accepted_no;accepted_rank;accepted_name;parent_no;parent_name;ref_author;ref_pubyr;reference_no;is_extant;n_occs;firstapp_max_ma;firstapp_min_ma;lastapp_max_ma;lastapp_min_ma;early_interval;late_interval;taxon_size;extant_size;phylum;class;order;family;genus;type_taxon;n_orders;n_families;n_genera;n_species;taxon_environment;environment_basis;motility;life_habit;vision;diet;reproduction;ontogeny;ecospace_comments;composition;architecture;thickness;reinforcement
41273;41273;txn;;;Brachycyon;Filhol 1872;;;41273;genus;Brachycyon;41266;Amphicyonidae;Carroll;1988;4783;extinct;0;;;;;;;2;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Brachycyon;;;;;1;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
470442;470442;txn;;;Brachycyon gaudryi;Ginsburg 1966;;;470442;species;Brachycyon gaudryi;41273;Brachycyon;Valenciano and Baskin;2022;84428;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Brachycyon;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
375037;375037;txn;;;Bonisicyon;Werdelin 2009;;;375037;genus;Bonisicyon;41266;Amphicyonidae;Werdelin;2009;41097;extinct;2;11.63;5.333;7.246;5.333;Tortonian;Messinian;2;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Bonisicyon;;;;;1;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
375039;375039;txn;;;Bonisicyon illacabo;Werdelin 2009;;;375039;species;Bonisicyon illacabo;375037;Bonisicyon;Werdelin;2009;41097;extinct;2;11.63;5.333;7.246;5.333;Tortonian;Messinian;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Bonisicyon;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
41276;41276;txn;;;Cynodictis;Bravard and Pomel 1850;;;41276;genus;Cynodictis;41266;Amphicyonidae;Scott;1898;3090;extinct;15;56;47.8;33.9;23.03;Ypresian;Chattian;11;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;Cynodictis lacustris;;;;8;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
422679;422679;txn;;;Cynodictis parisiensis;Pomel 1853;;;422679;species;Cynodictis parisiensis;41276;Cynodictis;Le Verger et al.;2020;72915;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
422681;422681;txn;;;Cynodictis cayluxensis;Filhol 1876;;;422681;species;Cynodictis cayluxensis;41276;Cynodictis;Le Verger et al.;2020;72915;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
422685;422685;txn;;;Cynodictis longirostris;Filhol 1872;;;422685;species;Cynodictis longirostris;41276;Cynodictis;Le Verger et al.;2020;72915;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
422682;422682;txn;;;Cynodictis crassus;Teilard de Chardin 1915;;;422682;species;Cynodictis crassus;41276;Cynodictis;Le Verger et al.;2020;72915;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
422683;422683;txn;;;Cynodictis exilis;Teilard de Chardin 1915;;;422683;species;Cynodictis exilis;41276;Cynodictis;Le Verger et al.;2020;72915;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
422678;422678;txn;;;Cynodictis peignei;Le Verger et al. 2020;;;422678;species;Cynodictis peignei;41276;Cynodictis;Le Verger et al.;2020;72915;extinct;1;33.9;23.03;33.9;23.03;Rupelian;Chattian;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
422684;422684;txn;;;Cynodictis ferox;Filhol 1876;;;422684;species;Cynodictis ferox;41276;Cynodictis;Le Verger et al.;2020;72915;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
476456;476507;txn;;;Cynodictis (Elocyon);(Aymard 1849);;;476456;subgenus;Cynodictis (Elocyon);41276;Cynodictis;Cirot and de Bonis;1992;9832;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
349281;349281;txn;;;Cynodictis lacustris;Gervais 1852;;;349281;species;Cynodictis lacustris;41276;Cynodictis;de Bonis;1978;61376;extinct;5;37.71;33.9;37.71;33.9;Priabonian;;2;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Cynodictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
