"","MDD_species","MDD_original_combination","pbdb_accepted_name","string_distance","match_notes","MDD_family","pbdb_family","MDD_author","MDD_year","MDD_authority_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year","pbdb_accepted_author_parentheses","accepted_match","MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_genus","MDD_validity","MDD_actual_rank","MDD_continent","pbdb_accepted_no","pbdb_taxon_no"
"917","Canis_latrans","Canis_vigilis","Canis_variabilis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","C. H. Merriam",1897,0,"Pei",1934,TRUE,FALSE,1005941,100003581,"vigilis","Carnivora","Canis","synonym","species","North America",399955,399955
"918","Canis_latrans","Canis_jamesi","Canis_gezi",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","C. H. Townsend",1912,0,"Kraglievich",1928,FALSE,FALSE,1005941,100003587,"jamesi","Carnivora","Canis","synonym","species","North America",433187,433187
"919","Canis_latrans","Canis_caneloensis","Canis_senezensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Skinner",1942,0,"Martin",1971,FALSE,FALSE,1005941,100031312,"caneloensis","Carnivora","Canis","synonym","species","North America",475375,475375
"920","Canis_lupaster","Canis_sacer","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Hemprich & Ehrenberg in Ehrenberg",1833,0,"Blanford",1877,FALSE,FALSE,1005942,100003597,"sacer","Carnivora","Canis","synonym","species","Africa",476477,476477
"921","Canis_lupaster","Canis_mengesi","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Noack",1897,0,"Tedford_et-al",2009,FALSE,FALSE,1005942,100003604,"mengesi","Carnivora","Canis","synonym","species","Africa",301915,301915
"922","Canis_lupaster","Canis_mengesi","Canis_gezi",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Noack",1897,0,"Kraglievich",1928,FALSE,FALSE,1005942,100003604,"mengesi","Carnivora","Canis","synonym","species","Africa",433187,433187
"923","Canis_lupaster","Canis_algirensis","Canis_arnensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Hilzheimer",1906,0,"Del-Campana",1913,FALSE,FALSE,1005942,100058867,"algirensis","Carnivora","Canis","synonym","species","Africa",370342,370342
"924","Canis_lupaster","Canis_algirensis","Canis_tarijensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Hilzheimer",1906,0,"Ameghino",1902,TRUE,FALSE,1005942,100058867,"algirensis","Carnivora","Canis","synonym","species","Africa",475477,475477
"925","Canis_lupaster","Canis_gallaensis","Canis_arnensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Lorenz-Liburnau",1906,0,"Del-Campana",1913,FALSE,FALSE,1005942,100003611,"gallaensis","Carnivora","Canis","synonym","species","Africa",370342,370342
"926","Canis_lupaster","Canis_gallaensis","Canis_tarijensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Lorenz-Liburnau",1906,0,"Ameghino",1902,TRUE,FALSE,1005942,100003611,"gallaensis","Carnivora","Canis","synonym","species","Africa",475477,475477
"927","Canis_lupus","Canis_lupus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Linnaeus",1758,0,"Tedford_et-al",2009,FALSE,FALSE,1005943,100003617,"lupus","Carnivora","Canis","species","species","Asia|Europe|North America",301915,301915
"928","Canis_lupus","Canis_lupus","Canis_cipio",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Linnaeus",1758,0,"Crusafont-Pairo",1950,FALSE,FALSE,1005943,100003617,"lupus","Carnivora","Canis","species","species","Asia|Europe|North America",433186,433186
"929","Canis_lupus","Canis_lupus","Canis_adoxus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Linnaeus",1758,0,"Martin",1971,FALSE,FALSE,1005943,100003617,"lupus","Carnivora","Canis","species","species","Asia|Europe|North America",475374,475374
"930","Canis_lupus","Canis_albus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Link",1795,0,"Tedford_et-al",2009,FALSE,FALSE,1005943,100051524,"albus","Carnivora","Canis","synonym","species","Asia|Europe|North America",301915,301915
"931","Canis_lupus","Canis_niger","Canis_cipio",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Illiger",1815,0,"Crusafont-Pairo",1950,FALSE,FALSE,1005943,100050480,"niger","Carnivora","Canis","synonym","species","Asia|Europe|North America",433186,433186
"932","Canis_lupus","Canis_niger","Canis_cipio",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","P. L. Sclater",1875,0,"Crusafont-Pairo",1950,FALSE,FALSE,1005943,100003642,"niger","Carnivora","Canis","synonym","species","Asia|Europe|North America",433186,433186
"933","Canis_lupus","Canis_niger","Canis_gezi",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Illiger",1815,0,"Kraglievich",1928,FALSE,FALSE,1005943,100050480,"niger","Carnivora","Canis","synonym","species","Asia|Europe|North America",433187,433187
"934","Canis_lupus","Canis_niger","Canis_gezi",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","P. L. Sclater",1875,0,"Kraglievich",1928,FALSE,FALSE,1005943,100003642,"niger","Carnivora","Canis","synonym","species","Asia|Europe|North America",433187,433187
"935","Canis_lupus","Canis_spelaeus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Goldfuss",1823,0,"Tedford_et-al",2009,FALSE,FALSE,1005943,100029569,"spelaeus","Carnivora","Canis","synonym","species","Asia|Europe|North America",301915,301915
"936","Canis_lupus","Canis_chanco","Canis_cipio",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","J. E. Gray",1863,0,"Crusafont-Pairo",1950,FALSE,FALSE,1005943,100003639,"chanco","Carnivora","Canis","synonym","species","Asia|Europe|North America",433186,433186
"937","Canis_lupus","Canis_chanko","Canis_cipio",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Przewalski",1878,0,"Crusafont-Pairo",1950,FALSE,FALSE,1005943,100058221,"chanko","Carnivora","Canis","synonym","species","Asia|Europe|North America",433186,433186
"938","Canis_lupus","Canis_ater","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Bangs",1898,0,"Blanford",1877,FALSE,FALSE,1005943,100056412,"ater","Carnivora","Canis","synonym","species","Asia|Europe|North America",476477,476477
"939","Canis_lupus","Canis_ater","Canis_gezi",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Bangs",1898,0,"Kraglievich",1928,FALSE,FALSE,1005943,100056412,"ater","Carnivora","Canis","synonym","species","Asia|Europe|North America",433187,433187
"940","Canis_lupus","Canis_griseus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","V. O. Bailey",1905,0,"Tedford_et-al",2009,FALSE,FALSE,1005943,100056411,"griseus","Carnivora","Canis","synonym","species","Asia|Europe|North America",301915,301915
"941","Lycalopex_grisea","Canis_griseus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","J. E. Gray",1837,1,"Tedford_et-al",2009,FALSE,FALSE,1005956,100029617,"griseus","Carnivora","Lycalopex","synonym","species","South America",301915,301915
