"","pbdb_taxon_name","pbdb_taxon_authority","pbdb_accepted_name","pbdb_accepted_rank","pbdb_accepted_authority","pbdb_accepted_author_name_format","pbdb_accepted_author_year","pbdb_accepted_authority_parentheses"
"1074","Beckia","Bryant 1968","Hoplictis","genus","Ginsburg 1961","GINSBURG","1961","no"
"1075","Hoplictis_grangerensis","(Bryant 1968)","Hoplictis_grangerensis","species","(Bryant 1968)","BRYANT","1968","yes"
"1076","Hoplictis_noueli","Mayet 1908","Hoplictis_noueli","species","Mayet 1908","MAYET","1908","no"
"1077","Torolutra","Petter 1991","Torolutra","genus","Petter 1991","PETTER","1991","no"
"1078","Torolutra_ougandensis","Petter et al. 1991","Torolutra_ougandensis","species","Petter et al. 1991","PETTER_ET-AL","1991","no"
"1079","Skopelogale","Baskin 2020","Skopelogale","genus","Baskin 2020","BASKIN","2020","no"
"1080","Skopelogale_melitodes","Baskin 2020","Skopelogale_melitodes","species","Baskin 2020","BASKIN","2020","no"
"1081","Mellalictis","Ginsburg 1977","Mellalictis","genus","Ginsburg 1977","GINSBURG","1977","no"
"1082","Mellalictis_mellalensis","Ginsburg 1977","Mellalictis_mellalensis","species","Ginsburg 1977","GINSBURG","1977","no"
"1083","Sivalictis","Pilgrim 1932","Sivalictis","genus","Pilgrim 1932","PILGRIM","1932","no"
"1084","Paragale","Petter 1967","Paragale","genus","Petter 1967","PETTER","1967","no"
"1085","Paragale_huerzeleri","Petter 1967","Paragale_huerzeleri","species","Petter 1967","PETTER","1967","no"
"1086","Mustellinae","Fischer 1817","Mustellinae","subfamily","Fischer 1817","FISCHER","1817","no"
"1087","Corumictis","Paterson et al. 2020","Corumictis","genus","Paterson et al. 2020","PATERSON_ET-AL","2020","no"
"1088","Corumictis_julieni","(Viret 1929)","Corumictis_julieni","species","(Viret 1929)","VIRET","1929","yes"
"1089","Corumictis_wolsani","Paterson et al. 2020","Corumictis_wolsani","species","Paterson et al. 2020","PATERSON_ET-AL","2020","no"
"1090","Sabadellictis","Petter 1963","Sabadellictis","genus","Petter 1963","PETTER","1963","no"
"1091","Kenyalutra","","Kenyalutra","genus","","",NA,"no"
"1092","Oligobunidae","","Oligobunidae","family","","",NA,"no"
"1093","Pseudobassaris","Pohle 1917","Pseudobassaris","genus","Pohle 1917","POHLE","1917","no"
"1094","Pseudobassaris_riggsi","Pohle 1917","Pseudobassaris_riggsi","species","Pohle 1917","POHLE","1917","no"
"1095","Procyonoidea","Bonaparte 1850","Procyonoidea","superfamily","Bonaparte 1850","BONAPARTE","1850","no"
"1096","Mustelictis","Lange 1969","Mustelictis","genus","Lange 1969","LANGE","1969","no"
"1097","Mustelictis_piveteaui","Lange 1969","Mustelictis_piveteaui","species","Lange 1969","LANGE","1969","no"
"1098","Mustelictis_major","Teilhard 1915","Mustelictis_major","species","Teilhard 1915","TEILHARD","1915","no"
"1099","Mustelictis_olivieri","de Bonis 1997","Mustelictis_olivieri","species","de Bonis 1997","DE-BONIS","1997","no"
"1100","Mustelictis_robustus","(Filhol 1915)","Mustelictis_robustus","species","(Filhol 1915)","FILHOL","1915","yes"
"1101","Nothocyon","Wortman and Matthew 1899","Nothocyon","genus","Wortman and Matthew 1899","WORTMAN_MATTHEW","1899","no"
"1102","Nothocyon_(Galecynus)","(Owen 1847)","Nothocyon_(Galecynus)","subgenus","(Owen 1847)","OWEN","1847","yes"
"1103","Nothocyon_geismarianus","(Cope 1878)","Nothocyon_geismarianus","species","(Cope 1878)","COPE","1878","yes"
"1104","Nothocyon_geismarianus_mollis","Merriam 1906","Nothocyon_geismarianus_mollis","subspecies","Merriam 1906","MERRIAM","1906","no"
"1105","Panpinnipedia","Wolsan et al. 2020","Panpinnipedia","unranked clade","Wolsan et al. 2020","WOLSAN_ET-AL","2020","no"
"1106","Pinnipedimorpha","Berta et al. 1989","Pinnipedimorpha","unranked clade","Berta et al. 1989","BERTA_ET-AL","1989","no"
"1107","Pinnipedia","(Illiger 1811)","Pinnipedia","unranked clade","(Illiger 1811)","ILLIGER","1811","yes"
"1108","Squalodon_modesta","(Leidy 1869)","Pinnipedia","unranked clade","(Illiger 1811)","ILLIGER","1811","yes"
"1109","Palaeotaria","Leriche 1910","Palaeotaria","genus","Leriche 1910","LERICHE","1910","no"
"1110","Palaeotaria_henriettae","Leriche 1910","Palaeotaria_henriettae","species","Leriche 1910","LERICHE","1910","no"
"1111","Phocidae","Gray 1821","Phocidae","family","Gray 1821","GRAY","1821","no"
"1112","Cystophorinae","Gray 1866","Cystophorinae","subfamily","Gray 1866","GRAY","1866","no"
"1113","Terranectes_magnus","Rahmat et al. 2017","Phocidae","family","Gray 1821","GRAY","1821","no"
"1114","Sarmatonectes_sintsovi","Koretsky 2001","Phocidae","family","Gray 1821","GRAY","1821","no"
"1115","Prophoca_rousseaui","(Van Beneden 1876)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1116","Phoca_novorossica","(Alekseev 1924)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1117","Properiptychus","Ameghino 1897","Properiptychus","genus","Ameghino 1897","AMEGHINO","1897","no"
"1118","Properiptychus_argentinus","(Ameghino 1893)","Properiptychus_argentinus","species","(Ameghino 1893)","AMEGHINO","1893","yes"
"1119","Sarmatonectes","Koretsky 2001","Phocidae","family","Gray 1821","GRAY","1821","no"
"1120","Mesotaria","Van Beneden 1876","Phocidae","family","Gray 1821","GRAY","1821","no"
"1121","Manatus_maeoticus","Eichwald 1850","Phocidae","family","Gray 1821","GRAY","1821","no"
"1122","Phoca_ambigua","Staring 1860","Phocidae","family","Gray 1821","GRAY","1821","no"
"1123","Gryphoca_similis","(Van Beneden 1876)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1124","Frisiphoca_aberratum","(Vanden Broeck 1874)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1125","Phocinae","Gray 1821","Phocinae","subfamily","Gray 1821","GRAY","1821","no"
"1126","Necromites","Bogachev 1940","Necromites","genus","Bogachev 1940","BOGACHEV","1940","no"
"1127","Necromites_nestoris","Bogachev 1940","Necromites_nestoris","species","Bogachev 1940","BOGACHEV","1940","no"
"1128","Erignathini","Chapski 1955","Erignathini","tribe","Chapski 1955","CHAPSKI","1955","no"
"1129","Phocini","Gray 1821","Phocini","tribe","Gray 1821","GRAY","1821","no"
"1130","Phocinina","Koretsky 2001","Phocinina","subtribe","Koretsky 2001","KORETSKY","2001","no"
"1131","Histriophocina","Koretsky 2001","Histriophocina","subtribe","Koretsky 2001","KORETSKY","2001","no"
"1132","Phocina","(Gray 1825)","Phocina","subtribe","(Gray 1825)","GRAY","1825","yes"
"1133","Planopusa","Koretsky and Rahmat 2021","Planopusa","genus","Koretsky and Rahmat 2021","KORETSKY_RAHMAT","2021","no"
"1134","Planopusa_semenovi","Koretsky and Rahmat 2021","Planopusa_semenovi","species","Koretsky and Rahmat 2021","KORETSKY_RAHMAT","2021","no"
"1135","Pusa","(Scopoli 1777)","Pusa","genus","(Scopoli 1777)","SCOPOLI","1777","yes"
"1136","Pusa_hispida","(Schreber 1775)","Pusa_hispida","species","(Schreber 1775)","SCHREBER","1775","yes"
"1137","Pusa_hispida_saimensis","Nordquist 1900","Pusa_hispida_saimensis","subspecies","Nordquist 1900","NORDQUIST","1900","no"
"1138","Pusa_hispida_ochotensis","(Pallas 1831)","Pusa_hispida_ochotensis","subspecies","(Pallas 1831)","PALLAS","1831","yes"
"1139","Phoca_ochotensis_macrodens","Allen 1902","Phoca_ochotensis_macrodens","subspecies","Allen 1902","ALLEN","1902","no"
"1140","Pusa_hispida_gichigensis","(Allen 1902)","Pusa_hispida_gichigensis","subspecies","(Allen 1902)","ALLEN","1902","yes"
"1141","Phoca_(Phoca)_foetida","(Fabricius 1776)","Pusa_hispida","species","(Schreber 1775)","SCHREBER","1775","yes"
"1142","Callocephalus_dimidiatus","(Schlegel 1800)","Pusa_hispida","species","(Schreber 1775)","SCHREBER","1775","yes"
"1143","Pusa_caspica","(Nilsson 1837)","Pusa_caspica","species","(Nilsson 1837)","NILSSON","1837","yes"
"1144","Pusa_sibirica","(Gmelin 1788)","Pusa_sibirica","species","(Gmelin 1788)","GMELIN","1788","yes"
"1145","Halichoerus","Nilsson 1820","Halichoerus","genus","Nilsson 1820","NILSSON","1820","no"
"1146","Halichoerus_grypus","(Fabricius 1791)","Halichoerus_grypus","species","(Fabricius 1791)","FABRICIUS","1791","yes"
"1147","Halichoerus_(Halichoerus)","Trouessart 1898","Halichoerus_(Halichoerus)","subgenus","Trouessart 1898","TROUESSART","1898","no"
"1148","Praepusa","Kretzoi 1941","Praepusa","genus","Kretzoi 1941","KRETZOI","1941","no"
"1149","Praepusa_pannonica","(Kretzoi 1941)","Praepusa_pannonica","species","(Kretzoi 1941)","KRETZOI","1941","yes"
"1150","Praepusa_tarchankutica","Antoniuk and Koretsky 1984","Praepusa_tarchankutica","species","Antoniuk and Koretsky 1984","ANTONIUK_KORETSKY","1984","no"
"1151","Praepusa_procaspica","(Gadzhiev 1961)","Praepusa_procaspica","species","(Gadzhiev 1961)","GADZHIEV","1961","yes"
"1152","Cystophora","Nilsson 1820","Cystophora","genus","Nilsson 1820","NILSSON","1820","no"
"1153","Stemmatopis","Gloger 1841","Cystophora","genus","Nilsson 1820","NILSSON","1820","no"
"1154","Stemmatops","Van der Hoeven 1855","Cystophora","genus","Nilsson 1820","NILSSON","1820","no"
"1155","Cystophoca","Schufeldt 1890","Cystophora","genus","Nilsson 1820","NILSSON","1820","no"
"1156","Stemmatopus","Cuvier 1824","Cystophora","genus","Nilsson 1820","NILSSON","1820","no"
"1157","Cystophora_cristata","(Erxleben 1779)","Cystophora_cristata","species","(Erxleben 1779)","ERXLEBEN","1779","yes"
"1158","Cystophora_borealis","Nilsson 1820","Cystophora_cristata","species","(Erxleben 1779)","ERXLEBEN","1779","yes"
"1159","Kawas","Cozzuol 2001","Kawas","genus","Cozzuol 2001","COZZUOL","2001","no"
"1160","Kawas_benegasorum","Cozzuol 2001","Kawas_benegasorum","species","Cozzuol 2001","COZZUOL","2001","no"
"1161","Leptophoca","(True 1906)","Leptophoca","genus","(True 1906)","TRUE","1906","yes"
