"","pbdb_taxon_name","pbdb_taxon_authority","pbdb_accepted_name","pbdb_accepted_rank","pbdb_accepted_authority","pbdb_accepted_author_name_format","pbdb_accepted_author_year","pbdb_accepted_authority_parentheses"
"1843","Aurorarctos","Jiangzuo and Flynn 2020","Aurorarctos","genus","Jiangzuo and Flynn 2020","JIANGZUO_FLYNN","2020","no"
"1844","Aurorarctos_tirawa","Jiangzuo and Flynn 2020","Aurorarctos_tirawa","species","Jiangzuo and Flynn 2020","JIANGZUO_FLYNN","2020","no"
"1845","Tremarctini","","Tremarctini","tribe","","",NA,"no"
"1846","Ballusia","Ginsburg and Morales 1998","Ballusia","genus","Ginsburg and Morales 1998","GINSBURG_MORALES","1998","no"
"1847","Ballusia_orientalis","QIU et al. 1985","Ballusia_orientalis","species","QIU et al. 1985","QIU_ET-AL","1985","no"
"1848","Ballusia_zhegalloi","Sotnikova et al. 2021","Ballusia_zhegalloi","species","Sotnikova et al. 2021","SOTNIKOVA_ET-AL","2021","no"
"1849","Ballusia_elmensis","(Stehlin 1917)","Ballusia_elmensis","species","(Stehlin 1917)","STEHLIN","1917","yes"
"1850","Protarctos","Kretzoi 1945","Protarctos","genus","Kretzoi 1945","KRETZOI","1945","no"
"1851","Protarctos_yinanensis","(Li 1993)","Protarctos_yinanensis","species","(Li 1993)","LI","1993","yes"
"1852","Protarctos_abstrusus","(Bjork 1970)","Protarctos_abstrusus","species","(Bjork 1970)","BJORK","1970","yes"
"1853","Taxina","Gray 1825","Taxina","tribe","Gray 1825","GRAY","1825","no"
"1854","Tremarctinae","Merriam and Stock 1925","Tremarctinae","subfamily","Merriam and Stock 1925","MERRIAM_STOCK","1925","no"
"1855","Eoarctos","Wang et al. 2023","Eoarctos","genus","Wang et al. 2023","WANG_ET-AL","2023","no"
"1856","Eoarctos_vorax","Wang et al. 2023","Eoarctos_vorax","species","Wang et al. 2023","WANG_ET-AL","2023","no"
"1857","Proarctotherium","Ameghino 1904","Proarctotherium","genus","Ameghino 1904","AMEGHINO","1904","no"
"1858","Proarctotherium_vetustum","(Ameghino 1885)","Proarctotherium_vetustum","species","(Ameghino 1885)","AMEGHINO","1885","yes"
"1859","Myadina","Gray 1825","Myadina","tribe","Gray 1825","GRAY","1825","no"
"1860","Subparictidae","Clark and Guensburg 1972","Subparictidae","family","Clark and Guensburg 1972","CLARK_GUENSBURG","1972","no"
"1861","Subparictis","Wang and Tedford 1992","Subparictis","genus","Wang and Tedford 1992","WANG_TEDFORD","1992","no"
"1862","Subparictis_dakotensis","(Clark 1936)","Subparictis_dakotensis","species","(Clark 1936)","CLARK","1936","yes"
"1863","Musteloidea","Fischer de Waldheim 1817","Musteloidea","superfamily","Fischer de Waldheim 1817","FISCHER-DE-WALDHEIM","1817","no"
"1864","Semantoridae","(Orlov 1932)","Semantoridae","family","(Orlov 1932)","ORLOV","1932","yes"
"1865","Proputorius","Filhol 1890","Proputorius","genus","Filhol 1890","FILHOL","1890","no"
"1866","Proputorius_sansaniensis","Filhol 1891","Proputorius_sansaniensis","species","Filhol 1891","FILHOL","1891","no"
"1867","Allocyon","Merriam 1930","Allocyon","genus","Merriam 1930","MERRIAM","1930","no"
"1868","Allocyon_loganensis","Merriam 1930","Allocyon_loganensis","species","Merriam 1930","MERRIAM","1930","no"
"1869","Cynoidea","(Flower 1869)","Cynoidea","infraorder","(Flower 1869)","FLOWER","1869","yes"
"1870","Felidi","Jaekel 1911","Felidi","suborder","Jaekel 1911","JAEKEL","1911","no"
"1871","Protoferi","Jaekel 1911","Protoferi","suborder","Jaekel 1911","JAEKEL","1911","no"
"1872","Ursina","Gray 1825","Ursina","tribe","Gray 1825","GRAY","1825","no"
"1873","Percrocutidae","Werdelin and Solounias 1991","Percrocutidae","family","Werdelin and Solounias 1991","WERDELIN_SOLOUNIAS","1991","no"
"1874","Dinocrocuta","Schmidt-Kittler 1976","Dinocrocuta","genus","Schmidt-Kittler 1976","SCHMIDT-KITTLER","1976","no"
"1875","Dinocrocuta_algeriensis","(Arambourg 1959)","Dinocrocuta_algeriensis","species","(Arambourg 1959)","ARAMBOURG","1959","yes"
"1876","Dinocrocuta_gigantea","Schlosser 1903","Dinocrocuta_gigantea","species","Schlosser 1903","SCHLOSSER","1903","no"
"1877","Pseudailurus","Gervais 1848","Pseudailurus","genus","Gervais 1848","GERVAIS","1848","no"
"1878","Percrocuta","Kretzoi 1938","Percrocuta","genus","Kretzoi 1938","KRETZOI","1938","no"
"1879","Percrocuta_hebeiensis","Chen and Wu 1976","Percrocuta_hebeiensis","species","Chen and Wu 1976","CHEN_WU","1976","no"
"1880","Percrocuta_carnifex","(Pilgrim 1913)","Percrocuta_carnifex","species","(Pilgrim 1913)","PILGRIM","1913","yes"
"1881","Percrocuta_tobieni","Crusafont-Pairo and Aguirre 1971","Percrocuta_tobieni","species","Crusafont-Pairo and Aguirre 1971","CRUSAFONT-PAIRO_AGUIRRE","1971","no"
"1882","Percrocuta_australis","Hendey 1974","Percrocuta_australis","species","Hendey 1974","HENDEY","1974","no"
"1883","Percrocuta_xixiaensis","Xiong 2023","Percrocuta_xixiaensis","species","Xiong 2023","XIONG","2023","no"
"1884","Percrocuta_miocenica","Pavlovic and Thenius 1965","Percrocuta_miocenica","species","Pavlovic and Thenius 1965","PAVLOVIC_THENIUS","1965","no"
"1885","Percrocuta_primordialis","(Qiu and Cao 1988)","Percrocuta_primordialis","species","(Qiu and Cao 1988)","QIU_CAO","1988","yes"
"1886","Phocidi","Jaekel 1911","Phocidi","suborder","Jaekel 1911","JAEKEL","1911","no"
"1887","Pristinictis","Fox and Youzwyshyn 1994","Pristinictis","genus","Fox and Youzwyshyn 1994","FOX_YOUZWYSHYN","1994","no"
"1888","Pristinictis_connata","Fox and Youzwyshyn 1994","Pristinictis_connata","species","Fox and Youzwyshyn 1994","FOX_YOUZWYSHYN","1994","no"
"1889","Fissipedia","(Blumenbach 1791)","Fissipedia","suborder","(Blumenbach 1791)","BLUMENBACH","1791","yes"
"1890","Cynictidae","Cope 1882","Cynictidae","family","Cope 1882","COPE","1882","no"
"1891","Arctictidae","Cope 1889","Arctictidae","family","Cope 1889","COPE","1889","no"
"1892","Bassarididae","Cope 1889","Bassarididae","family","Cope 1889","COPE","1889","no"
"1893","Feliformia","Kretzoi 1945","Feliformia","suborder","Kretzoi 1945","KRETZOI","1945","no"
"1894","Aeluroida","Flynn and Galiano 1982","Aeluroida","infraorder","Flynn and Galiano 1982","FLYNN_GALIANO","1982","no"
"1895","Viverravoidea","Wortman and Matthew 1899","Viverravoidea","superfamily","Wortman and Matthew 1899","WORTMAN_MATTHEW","1899","no"
"1896","Ictidopappus","Simpson 1935","Ictidopappus","genus","Simpson 1935","SIMPSON","1935","no"
"1897","Ictidopappus_mustelinus","Simpson 1935","Ictidopappus_mustelinus","species","Simpson 1935","SIMPSON","1935","no"
"1898","Aeluroidea","Flower 1869","Aeluroidea","unranked clade","Flower 1869","FLOWER","1869","no"
"1899","Viverroidea","Gray 1821","Viverroidea","infraorder","Gray 1821","GRAY","1821","no"
"1900","Herpestidae","(Bonaparte 1845)","Herpestidae","family","(Bonaparte 1845)","BONAPARTE","1845","yes"
"1901","Suricata","Desmarest 1804","Suricata","genus","Desmarest 1804","DESMAREST","1804","no"
"1902","Suricata_suricatta","(Schreber 1776)","Suricata_suricatta","species","(Schreber 1776)","SCHREBER","1776","yes"
"1903","Ryzaena","Illiger 1811","Suricata","genus","Desmarest 1804","DESMAREST","1804","no"
"1904","Crossarchus","Cuvier 1825","Crossarchus","genus","Cuvier 1825","CUVIER","1825","no"
"1905","Crossarchus_zebra","(RÃ¼ppell 1835)","Crossarchus_zebra","species","(RÃ¼ppell 1835)","RA-1/4PPELL","1835","yes"
"1906","Crossarchus_obscurus","Cuvier 1825","Crossarchus_obscurus","species","Cuvier 1825","CUVIER","1825","no"
"1907","Crossarchus_alexandri","Thomas and Wroughton 1907","Crossarchus_alexandri","species","Thomas and Wroughton 1907","THOMAS_WROUGHTON","1907","no"
"1908","Crossarchus_gothneli","Fitzinger 1899","Crossarchus_gothneli","species","Fitzinger 1899","FITZINGER","1899","no"
"1909","Crossarchus_platycephalus","Goldman 1984","Crossarchus_platycephalus","species","Goldman 1984","GOLDMAN","1984","no"
"1910","Crossarchus_ansorgei","Thomas 1910","Crossarchus_ansorgei","species","Thomas 1910","THOMAS","1910","no"
"1911","Herpestinae","Bonaparte 1845","Herpestinae","subfamily","Bonaparte 1845","BONAPARTE","1845","no"
"1912","Atilax","Cuvier 1826","Atilax","genus","Cuvier 1826","CUVIER","1826","no"
"1913","Atilax_paludinosus","(Cuvier 1829)","Atilax_paludinosus","species","(Cuvier 1829)","CUVIER","1829","yes"
"1914","Paracynictis","Pocock 1916","Paracynictis","genus","Pocock 1916","POCOCK","1916","no"
"1915","Paracynictis_selousi","(de Winton 1896)","Paracynictis_selousi","species","(de Winton 1896)","DE-WINTON","1896","yes"
"1916","Galerella","Gray 1864","Galerella","genus","Gray 1864","GRAY","1864","no"
"1917","Galerella_pulverulenta","(Wagner 1839)","Galerella_pulverulenta","species","(Wagner 1839)","WAGNER","1839","yes"
"1918","Galerella_nigrata","Thomas 1928","Galerella_nigrata","species","Thomas 1928","THOMAS","1928","no"
"1919","Galerella_ochracea","(Gray 1849)","Galerella_ochracea","species","(Gray 1849)","GRAY","1849","yes"
"1920","Galerella_ochracea_fulvidior","(Thomas 1904)","Galerella_ochracea_fulvidior","subspecies","(Thomas 1904)","THOMAS","1904","yes"
"1921","Galerella_ochracea_bocagei","(Thomas and Wroughton 1905)","Galerella_ochracea_bocagei","subspecies","(Thomas and Wroughton 1905)","THOMAS_WROUGHTON","1905","yes"
"1922","Galerella_ochracea_perfulvidus","(Thomas 1904)","Galerella_ochracea_perfulvidus","subspecies","(Thomas 1904)","THOMAS","1904","yes"
"1923","Dologale","Thomas 1920","Dologale","genus","Thomas 1920","THOMAS","1920","no"
"1924","Ichneumia","Geoffroy 1837","Ichneumia","genus","Geoffroy 1837","GEOFFROY","1837","no"
"1925","Ichneumia_albicauda","(Cuvier 1829)","Ichneumia_albicauda","species","(Cuvier 1829)","CUVIER","1829","yes"
"1926","Ichneumia_albicauda_loandae","(Thomas 1904)","Ichneumia_albicauda_loandae","subspecies","(Thomas 1904)","THOMAS","1904","yes"
"1927","Ichneumia_albicauda_dialeucos","(Hollister 1916)","Ichneumia_albicauda_dialeucos","subspecies","(Hollister 1916)","HOLLISTER","1916","yes"
"1928","Ichneumia_albicauda_loempo","(Temminck 1853)","Ichneumia_albicauda_loempo","subspecies","(Temminck 1853)","TEMMINCK","1853","yes"
"1929","Ichneumia_albicauda_grandis","(Thomas 1890)","Ichneumia_albicauda_grandis","subspecies","(Thomas 1890)","THOMAS","1890","yes"
"1930","Herpestes","Cuvier 1829","Ichneumia","genus","Geoffroy 1837","GEOFFROY","1837","no"
"1931","Ichneumia_nims","Geraads 1997","Ichneumia_nims","species","Geraads 1997","GERAADS","1997","no"
"1932","Legetetia","Schmidt-Kittler 1987","Legetetia","genus","Schmidt-Kittler 1987","SCHMIDT-KITTLER","1987","no"
"1933","Legetetia_nandii","Schmidt-Kittler 1987","Legetetia_nandii","species","Schmidt-Kittler 1987","SCHMIDT-KITTLER","1987","no"
"1934","Mungos","Geoffroy Saint Hilaire and Cuvier 1795","Mungos","genus","Geoffroy Saint Hilaire and Cuvier 1795","GEOFFROY-SAINT-HILAIRE_CUVIER","1795","no"
"1935","Mungos_mungo","(Gmelin 1788)","Mungos_mungo","species","(Gmelin 1788)","GMELIN","1788","yes"
"1936","Crossarchus_fasciatus","(Desmarest 1823)","Mungos_mungo","species","(Gmelin 1788)","GMELIN","1788","yes"
"1937","Ariela_taenionota","(Smith 1835)","Mungos_mungo","species","(Gmelin 1788)","GMELIN","1788","yes"
"1938","Crossarchus_fasciatus_colonus","Heller 1911","Crossarchus_fasciatus_colonus","subspecies","Heller 1911","HELLER","1911","no"
"1939","Ariela","Gray 1864","Mungos","genus","Geoffroy Saint Hilaire and Cuvier 1795","GEOFFROY-SAINT-HILAIRE_CUVIER","1795","no"
"1940","Mungos_gambianus","(Ogilby 1835)","Mungos_gambianus","species","(Ogilby 1835)","OGILBY","1835","yes"
"1941","Ugandictis","Morales et al. 2007","Ugandictis","genus","Morales et al. 2007","MORALES_ET-AL","2007","no"
"1942","Ugandictis_napakensis","Morales et al. 2007","Ugandictis_napakensis","species","Morales et al. 2007","MORALES_ET-AL","2007","no"
"1943","Bdeogale","Peters 1850","Bdeogale","genus","Peters 1850","PETERS","1850","no"
"1944","Bdeogale_nigripes","Pucheran 1855","Bdeogale_nigripes","species","Pucheran 1855","PUCHERAN","1855","no"
"1945","Bdeogale_crassicauda","Peters 1852","Bdeogale_crassicauda","species","Peters 1852","PETERS","1852","no"
"1946","Helogale","Gray 1861","Helogale","genus","Gray 1861","GRAY","1861","no"
"1947","Helogale_parvula","(Sundevall 1847)","Helogale_parvula","species","(Sundevall 1847)","SUNDEVALL","1847","yes"
"1948","Herpestes_undulatus","(Peters 1852)","Helogale_parvula","species","(Sundevall 1847)","SUNDEVALL","1847","yes"
"1949","Helogale_hirtula","Thomas 1904","Helogale_hirtula","species","Thomas 1904","THOMAS","1904","no"
"1950","Helogale_hirtula_ahlselli","LÃ¶nnberg 1912","Helogale_hirtula_ahlselli","subspecies","LÃ¶nnberg 1912","LA¶NNBERG","1912","no"
"1951","Herpestes","Illliger 1811","Herpestes","genus","Illliger 1811","ILLLIGER","1811","no"
"1952","Herpestes_smithii","Gray 1837","Herpestes_smithii","species","Gray 1837","GRAY","1837","no"
"1953","Herpestes_smithii_jerdoni","(Gray 1864)","Herpestes_smithii_jerdoni","subspecies","(Gray 1864)","GRAY","1864","yes"
"1954","Herpestes_monticolus","Jerdon 1867","Herpestes_smithii_jerdoni","subspecies","(Gray 1864)","GRAY","1864","yes"
"1955","Herpestes_ellioti","Blyth 1851","Herpestes_smithii","species","Gray 1837","GRAY","1837","no"
"1956","Herpestes_smithii_rusanus","Thomas 1923","Herpestes_smithii_rusanus","subspecies","Thomas 1923","THOMAS","1923","no"
"1957","Herpestes_torquatus","Jerdon 1867","Herpestes_smithii","species","Gray 1837","GRAY","1837","no"
"1958","Herpestes_smithii_canens","Thomas 1923","Herpestes_smithii_canens","subspecies","Thomas 1923","THOMAS","1923","no"
"1959","Herpestes_rubiginosus","Kelaart 1852","Herpestes_smithii","species","Gray 1837","GRAY","1837","no"
"1960","Herpestes_smithii_zeylanius","Thomas 1923","Herpestes_smithii_zeylanius","subspecies","Thomas 1923","THOMAS","1923","no"
"1961","Herpestes_smithii_smithii","Gray 1837","Herpestes_smithii_smithii","subspecies","Gray 1837","GRAY","1837","no"
"1962","Herpestes_javanicus","Geoffroy Saint-Hilaire 1818","Herpestes_javanicus","species","Geoffroy Saint-Hilaire 1818","GEOFFROY-SAINT-HILAIRE","1818","no"
"1963","Herpestes_abdelalii","Geraads 1997","Herpestes_abdelalii","species","Geraads 1997","GERAADS","1997","no"
"1964","Herpestes_gracilis","RÃ¼ppell 1835","Herpestes_gracilis","species","RÃ¼ppell 1835","RA-1/4PPELL","1835","no"
"1965","Herpestes_thysanurus","Wagner 1839","Herpestes_gracilis","species","RÃ¼ppell 1835","RA-1/4PPELL","1835","no"
"1966","Herpestes_ichneumon","(Linnaeus 1758)","Herpestes_ichneumon","species","(Linnaeus 1758)","LINNAEUS","1758","yes"
"1967","Herpestes_rubrifons","(Allen 1909)","Herpestes_rubrifons","species","(Allen 1909)","ALLEN","1909","yes"
"1968","Herpestes_semitorquatus","Gray 1846","Herpestes_semitorquatus","species","Gray 1846","GRAY","1846","no"
"1969","Herpestes_edwardsii","Geoffroy 1881","Herpestes_edwardsii","species","Geoffroy 1881","GEOFFROY","1881","no"
"1970","Herpestes_urva","(Hodgson 1836)","Herpestes_urva","species","(Hodgson 1836)","HODGSON","1836","yes"
"1971","Urva_hanensis","Matschie 1908","Herpestes_urva","species","(Hodgson 1836)","HODGSON","1836","yes"
"1972","Herpestes_fuscus","Waterhouse 1838","Herpestes_fuscus","species","Waterhouse 1838","WATERHOUSE","1838","no"
"1973","Herpestes_vitticollis","Bennett 1835","Herpestes_vitticollis","species","Bennett 1835","BENNETT","1835","no"
"1974","Crossarchus_rubiginosus","Wagner 1841","Herpestes_vitticollis","species","Bennett 1835","BENNETT","1835","no"
"1975","Herpestes_sanguineus","(RÃ¼ppell 1835)","Herpestes_sanguineus","species","(RÃ¼ppell 1835)","RA-1/4PPELL","1835","yes"
"1976","Mungos_sanguineus_rendilis","LÃ¶nnberg 1912","Mungos_sanguineus_rendilis","subspecies","LÃ¶nnberg 1912","LA¶NNBERG","1912","no"
"1977","Herpestes_sanguineus_orestes","(Heller 1911)","Herpestes_sanguineus_orestes","subspecies","(Heller 1911)","HELLER","1911","yes"
"1978","Mungos_dentifer","Heller 1913","Herpestes_sanguineus","species","(RÃ¼ppell 1835)","RA-1/4PPELL","1835","yes"
"1979","Onychogale","Gray 1864","Herpestes","genus","Illliger 1811","ILLLIGER","1811","no"
"1980","Herpestes_naso","de Winton 1901","Herpestes_naso","species","de Winton 1901","DE-WINTON","1901","no"
"1981","Herpestes_brachyurus","Gray 1837","Herpestes_brachyurus","species","Gray 1837","GRAY","1837","no"
"1982","Herpestes_auropunctatus","(Hodgson 1836)","Herpestes_auropunctatus","species","(Hodgson 1836)","HODGSON","1836","yes"
"1983","Urva","Hodgson 1837","Herpestes","genus","Illliger 1811","ILLLIGER","1811","no"
"1984","Taeniogale","Gray 1864","Herpestes","genus","Illliger 1811","ILLLIGER","1811","no"
"1985","Calogale","Gray 1864","Herpestes","genus","Illliger 1811","ILLLIGER","1811","no"
"1986","Calictis","Gray 1864","Herpestes","genus","Illliger 1811","ILLLIGER","1811","no"
"1987","Liberiictis","Hayman 1958","Liberiictis","genus","Hayman 1958","HAYMAN","1958","no"
"1988","Liberiictis_kuhni","Hayman 1958","Liberiictis_kuhni","species","Hayman 1958","HAYMAN","1958","no"
"1989","Cynictis","Ogilby 1833","Cynictis","genus","Ogilby 1833","OGILBY","1833","no"
"1990","Cynictis_penicillata","(Cuvier 1829)","Cynictis_penicillata","species","(Cuvier 1829)","CUVIER","1829","yes"
"1991","Rhynchogale","Thomas 1894","Rhynchogale","genus","Thomas 1894","THOMAS","1894","no"
"1992","Rhynchogale_melleri","(Gray 1864)","Rhynchogale_melleri","species","(Gray 1864)","GRAY","1864","yes"
"1993","Rhinogale","Gray 1865","Rhynchogale","genus","Thomas 1894","THOMAS","1894","no"
"1994","Xenogale","Allen 1919","Xenogale","genus","Allen 1919","ALLEN","1919","no"
"1995","Xenogale_microdon","Allen 1919","Xenogale_microdon","species","Allen 1919","ALLEN","1919","no"
"1996","Hyaenidae","Gray 1821","Hyaenidae","family","Gray 1821","GRAY","1821","no"
"1997","Ikelohyaena","Werdelin and Solounias 1991","Ikelohyaena","genus","Werdelin and Solounias 1991","WERDELIN_SOLOUNIAS","1991","no"
"1998","Ikelohyaena_abronia","(Hendey 1974)","Ikelohyaena_abronia","species","(Hendey 1974)","HENDEY","1974","yes"
"1999","Protoviverrops","de Beaumont and Mein 1972","Protoviverrops","genus","de Beaumont and Mein 1972","DE-BEAUMONT_MEIN","1972","no"
"2000","Protoviverrops_intermedium","(Schmidt-Kittler 1976)","Protoviverrops_intermedium","species","(Schmidt-Kittler 1976)","SCHMIDT-KITTLER","1976","yes"
"2001","Protoviverrops_gervaisi","(de Beaumont and Mein 1972)","Protoviverrops_gervaisi","species","(de Beaumont and Mein 1972)","DE-BEAUMONT_MEIN","1972","yes"
"2002","Hyaena","Brisson 1762","Hyaena","genus","Brisson 1762","BRISSON","1762","no"
"2003","Euhyaena","Falconer 1868","Hyaena","genus","Brisson 1762","BRISSON","1762","no"
"2004","Hyaena_perrieri","Croizet and Jobert 1828","Hyaena_perrieri","species","Croizet and Jobert 1828","CROIZET_JOBERT","1828","no"
"2005","Hyaena_arvernensis","Croziet and Jobert 1828","Hyaena_perrieri","species","Croizet and Jobert 1828","CROIZET_JOBERT","1828","no"
"2006","Hyaena_donnezani","Viret 1954","Hyaena_donnezani","species","Viret 1954","VIRET","1954","no"
"2007","Hyaena_hyaena","(Linnaeus 1758)","Hyaena_hyaena","species","(Linnaeus 1758)","LINNAEUS","1758","yes"
"2008","Hyaena_hyaena_sultana","(Pocock 1934)","Hyaena_hyaena_sultana","subspecies","(Pocock 1934)","POCOCK","1934","yes"
"2009","Hyaena_hyaena_dubbah","(Meyer 1793)","Hyaena_hyaena_dubbah","subspecies","(Meyer 1793)","MEYER","1793","yes"
"2010","Hyaena_bergeri","Matschie 1910","Hyaena_hyaena_dubbah","subspecies","(Meyer 1793)","MEYER","1793","yes"
"2011","Hyaena_rendilis","LÃ¶nnberg 1912","Hyaena_hyaena_dubbah","subspecies","(Meyer 1793)","MEYER","1793","yes"
"2012","Canis_hyaenomelas","Bruce 1820","Hyaena_hyaena_dubbah","subspecies","(Meyer 1793)","MEYER","1793","yes"
"2013","Hyaena_schillingsi","Matschie 1900","Hyaena_hyaena_dubbah","subspecies","(Meyer 1793)","MEYER","1793","yes"
"2014","Hyaena_dubia","Schinz 1821","Hyaena_hyaena_dubbah","subspecies","(Meyer 1793)","MEYER","1793","yes"
"2015","Hyaena_hyaena_barbara","(Blainville 1844)","Hyaena_hyaena_barbara","subspecies","(Blainville 1844)","BLAINVILLE","1844","yes"
"2016","Hyaena_suilla","Filippi 1853","Hyaena_hyaena_barbara","subspecies","(Blainville 1844)","BLAINVILLE","1844","yes"
"2017","Hyaena_hyaena_syriaca","(Matschie 1900)","Hyaena_hyaena_syriaca","subspecies","(Matschie 1900)","MATSCHIE","1900","yes"
"2018","Hyaena_satunini","Matschie 1910","Hyaena_hyaena_syriaca","subspecies","(Matschie 1900)","MATSCHIE","1900","yes"
"2019","Hyaena_bilkiewiczi","Satunin 1905","Hyaena_hyaena_syriaca","subspecies","(Matschie 1900)","MATSCHIE","1900","yes"
"2020","Hyaena_bokcharensis","Satunin 1905","Hyaena_hyaena_syriaca","subspecies","(Matschie 1900)","MATSCHIE","1900","yes"
"2021","Hyaena_zarudnyi","Satunin 1905","Hyaena_hyaena_syriaca","subspecies","(Matschie 1900)","MATSCHIE","1900","yes"
"2022","Hyaena_hyaena_hyaena","Linnaeus 1758","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2023","Hyaena_vulgaris","Desmarest 1820","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2024","Hyaena_fasciata","Thunberg 1820","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2025","Hyaena_orientalis","Tiedemann 1808","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2026","Hyaena_virgata","Ogilby 1839","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2027","Hyaena_antiquorum","Temminck 1820","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2028","Hyaena_indica","Blainville 1844","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2029","Hyaena_striata","Zimmermann 1777","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2030","Hyaena_antiqua","Lankester 1864","Hyaena_hyaena_hyaena","subspecies","Linnaeus 1758","LINNAEUS","1758","no"
"2031","Hyaena_hipparionum","Gervais 1846","Hyaena_hipparionum","species","Gervais 1846","GERVAIS","1846","no"
"2032","Hyaena_macrostoma","Lydekker 1884","Hyaena_macrostoma","species","Lydekker 1884","LYDEKKER","1884","no"
"2033","Hyaena_gigantea","Schlosser 1903","Hyaena_gigantea","species","Schlosser 1903","SCHLOSSER","1903","no"
"2034","Hyaena_salonicae","Andrews 1918","Hyaena_salonicae","species","Andrews 1918","ANDREWS","1918","no"
"2035","Hyaena_makapani","Toerien 1952","Hyaena_makapani","species","Toerien 1952","TOERIEN","1952","no"
"2036","Hyaena_prisca","De Serres 1828","Hyaena_prisca","species","De Serres 1828","DE-SERRES","1828","no"
"2037","Hyaena_monspessulana","Christol 1828","Hyaena_prisca","species","De Serres 1828","DE-SERRES","1828","no"
"2038","Hyaena_gigantea","Holl 1829","Hyaena_gigantea","species","Holl 1829","HOLL","1829","no"
"2039","Proteles","Geoffroy Saint-Hilaire 1824","Proteles","genus","Geoffroy Saint-Hilaire 1824","GEOFFROY-SAINT-HILAIRE","1824","no"
"2040","Proteles_transvaalensis","Hendey 1974","Proteles_transvaalensis","species","Hendey 1974","HENDEY","1974","no"
"2041","Geocyon","Wagler 1830","Proteles","genus","Geoffroy Saint-Hilaire 1824","GEOFFROY-SAINT-HILAIRE","1824","no"
"2042","Proteles_cristatus","(Sparrman 1783)","Proteles_cristatus","species","(Sparrman 1783)","SPARRMAN","1783","yes"
"2043","Proteles_cristatus_septentrionalis","Rothschild 1902","Proteles_cristatus_septentrionalis","subspecies","Rothschild 1902","ROTHSCHILD","1902","no"
"2044","Proteles_cristatus_cristatus","Sparrman 1783","Proteles_cristatus_cristatus","subspecies","Sparrman 1783","SPARRMAN","1783","no"
"2045","Proteles_cristatus_pallidior","Cabrera 1910","Proteles_cristatus_pallidior","subspecies","Cabrera 1910","CABRERA","1910","no"
"2046","Proteles_typicus","Smith 1834","Proteles_cristatus","species","(Sparrman 1783)","SPARRMAN","1783","yes"
"2047","Proteles_lalandii","(Geoffroy 1824)","Proteles_cristatus","species","(Sparrman 1783)","SPARRMAN","1783","yes"
"2048","Viverra_hyenoides","Desmarest 1820","Proteles_cristatus","species","(Sparrman 1783)","SPARRMAN","1783","yes"
"2049","Pachycrocuta","Kretzoi 1938","Pachycrocuta","genus","Kretzoi 1938","KRETZOI","1938","no"
"2050","Pachycrocuta_licenti","(Pei 1934)","Pachycrocuta_licenti","species","(Pei 1934)","PEI","1934","yes"
"2051","Pachycrocuta_bellax","Ewer 1954","Pachycrocuta_bellax","species","Ewer 1954","EWER","1954","no"
"2052","Pachycrocuta_brevirostris","(Gervais 1850)","Pachycrocuta_brevirostris","species","(Gervais 1850)","GERVAIS","1850","yes"
"2053","Hyaena_robusta","Weithofer 1889","Pachycrocuta_brevirostris","species","(Gervais 1850)","GERVAIS","1850","yes"
"2054","Hyaena_sinensis","Owen 1870","Pachycrocuta_brevirostris","species","(Gervais 1850)","GERVAIS","1850","yes"
"2055","Tongxinictis","Werdelin and Solounias 1991","Tongxinictis","genus","Werdelin and Solounias 1991","WERDELIN_SOLOUNIAS","1991","no"
"2056","Hyaenictis","Gaudry 1861","Hyaenictis","genus","Gaudry 1861","GAUDRY","1861","no"
"2057","Hyaenictis_almerai","Villalta and Crusafont Pairo 1945","Hyaenictis_almerai","species","Villalta and Crusafont Pairo 1945","VILLALTA_CRUSAFONT-PAIRO","1945","no"
"2058","Hyaenictis_graeca","Gaudry 1861","Hyaenictis_graeca","species","Gaudry 1861","GAUDRY","1861","no"
"2059","Hyaenictis_hendeyi","Werdelin et al. 1994","Hyaenictis_hendeyi","species","Werdelin et al. 1994","WERDELIN_ET-AL","1994","no"
"2060","Hyaenictis_preforfex","Hendey 1974","Hyaenictis_preforfex","species","Hendey 1974","HENDEY","1974","no"
"2061","Lycyaena","Hensel 1863","Lycyaena","genus","Hensel 1863","HENSEL","1863","no"
"2062","Lycyaena_macrostoma","Lydekker 1884","Lycyaena_macrostoma","species","Lydekker 1884","LYDEKKER","1884","no"
"2063","Lycyaena_chaeretis","Gaudry 1861","Lycyaena_chaeretis","species","Gaudry 1861","GAUDRY","1861","no"
