"pbdb_identified_no","pbdb_accepted_no","pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_internal_synonym","pbdb_genus_difference"
157498,157498,"Bassaricyon_gabbii",NA,"Bassaricyon_gabbii","species","species",NA,"Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon",NA,NA,NA,NA,33815,36651,36905,41249,157497,NA,"Bassaricyon_gabbii",FALSE
232942,232942,"Canis_adustus","recombined as","Schaeffia_adusta","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Schaeffia",NA,NA,NA,NA,33815,36651,36905,41189,475233,NA,"Schaeffia_adusta",FALSE
232916,232915,"Mellivora_capensis",NA,"Mellivora_capensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora",NA,NA,NA,NA,33815,36651,36905,41086,41132,NA,"Mellivora_capensis",FALSE
49734,46521,"Panthera_leo",NA,"Panthera_leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,"Panthera_leo",FALSE
224043,224043,"Felis_libyca","obsolete variant of","Felis_lybica","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,"Felis_lybica",FALSE
231463,231462,"Lycaon_pictus",NA,"Lycaon_pictus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",NA,NA,NA,NA,33815,36651,36905,41189,41219,NA,"Lycaon_pictus",FALSE
232959,232958,"Otocyon_megalotis",NA,"Otocyon_megalotis","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Otocyon",NA,NA,NA,NA,33815,36651,36905,41189,41228,NA,"Otocyon_megalotis",FALSE
232134,104154,"Hyaena_hyaena",NA,"Hyaena_hyaena","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena",NA,NA,NA,NA,33815,36651,36905,41020,41024,NA,"Hyaena_hyaena",FALSE
224076,224076,"Felis_caracal","recombined as","Caracal_caracal","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Caracal",NA,NA,NA,NA,33815,36651,36905,41045,224077,NA,"Caracal_caracal",FALSE
232856,232854,"Ichneumia_albicauda",NA,"Ichneumia_albicauda","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Ichneumia",NA,NA,NA,NA,33815,36651,36905,199984,72174,NA,"Ichneumia_albicauda",FALSE
232013,104164,"Genetta_genetta",NA,"Genetta_genetta","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Genetta",NA,NA,NA,NA,33815,36651,36905,40997,41003,NA,"Genetta_genetta",FALSE
231966,231966,"Viverra_civetta","recombined as","Civettictis_civetta","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Civettictis",NA,NA,NA,NA,33815,36651,36905,40997,41001,NA,"Civettictis_civetta",FALSE
224065,224064,"Acinonyx_jubatus",NA,"Acinonyx_jubatus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Acinonyx",NA,NA,NA,NA,33815,36651,36905,41045,41046,NA,"Acinonyx_jubatus",FALSE
224081,224081,"Felis_serval","recombined as","Caracal_serval","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Caracal",NA,NA,NA,NA,33815,36651,36905,41045,224077,NA,"Caracal_serval",FALSE
104156,104156,"Canis_aureus",NA,"Canis_aureus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,"Canis_aureus",FALSE
232092,232091,"Genetta_tigrina",NA,"Genetta_tigrina","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Genetta",NA,NA,NA,NA,33815,36651,36905,40997,41003,NA,"Genetta_tigrina",FALSE
206224,206189,"Mungos_mungo",NA,"Mungos_mungo","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Mungos",NA,NA,NA,NA,33815,36651,36905,199984,41009,NA,"Mungos_mungo",FALSE
46532,46532,"Felis_wiedii","recombined as","Leopardus_wiedii","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Leopardus",NA,NA,NA,NA,33815,36651,36905,41045,41057,NA,"Leopardus_wiedii",FALSE
157462,157461,"Aonyx_capensis","recombined as","Lutra_capensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra",NA,NA,NA,NA,33815,36651,36905,41086,41122,NA,"Lutra_capensis",FALSE
232914,232913,"Ictonyx_striatus",NA,"Ictonyx_striatus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Ictonyx",NA,NA,NA,NA,33815,36651,36905,41086,41116,NA,"Ictonyx_striatus",FALSE
232253,232253,"Herpestes_sanguineus",NA,"Herpestes_sanguineus","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes",NA,NA,NA,NA,33815,36651,36905,199984,41005,NA,"Herpestes_sanguineus",FALSE
241935,232131,"Parahyaena_brunnea",NA,"Parahyaena_brunnea","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Parahyaena",NA,NA,NA,NA,33815,36651,36905,41020,241934,NA,"Parahyaena_brunnea",FALSE
232162,232161,"Cynictis_penicillata",NA,"Cynictis_penicillata","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Cynictis",NA,NA,NA,NA,33815,36651,36905,199984,41002,NA,"Cynictis_penicillata",FALSE
374789,374788,"Paracynictis_selousi",NA,"Paracynictis_selousi","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Paracynictis",NA,NA,NA,NA,33815,36651,36905,199984,374787,NA,"Paracynictis_selousi",FALSE
232108,232106,"Atilax_paludinosus",NA,"Atilax_paludinosus","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Atilax",NA,NA,NA,NA,33815,36651,36905,199984,40999,NA,"Atilax_paludinosus",FALSE
56002,56002,"Leo_cf._gombaszoegensis","recombined as","Panthera_gombaszoegensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,"Panthera_gombaszoegensis",FALSE
335205,335205,"Africanictis_meini",NA,"Africanictis_meini","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Africanictis",NA,NA,NA,NA,33815,36651,36905,40997,97070,NA,"Africanictis_meini",FALSE
335208,335208,"Diamantofelis_ferox",NA,"Diamantofelis_ferox","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Diamantofelis",NA,NA,NA,NA,33815,36651,36905,41045,335207,NA,"Diamantofelis_ferox",FALSE
272023,272023,"Amphicyon_giganteus",NA,"Amphicyon_giganteus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,"Amphicyon_giganteus",FALSE
335211,335211,"Diamantofelis_minor",NA,"Diamantofelis_minor","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Diamantofelis",NA,NA,NA,NA,33815,36651,36905,41045,335207,NA,"Diamantofelis_minor",FALSE
101703,101703,"Ysengrinia_n._sp._ginsburgi","recombined as","Namibiocyon_ginsburgi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Namibiocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,471973,NA,"Namibiocyon_ginsburgi",FALSE
224042,224042,"Felis_silvestris",NA,"Felis_silvestris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,"Felis_silvestris",FALSE
68693,104981,"Monachus_albiventer","subjective synonym of","Monachus_monachus","species","species",NA,"Chordata","Mammalia","Carnivora","Phocidae","Monachus",NA,NA,NA,NA,33815,36651,36905,41186,36926,NA,"Monachus_monachus",FALSE
