"SIDNUM","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","FAMILY","SUBFAMILY","GENUS","SPECIES","MIN_AGE","MAX_AGE","now_accepted_name","now_accepted_rank","now_continent"
22395,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","arnensis",0.0117,3.55,"Canis_arnensis","species","Europe"
23851,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Meles","dimitrius",2.725,3.55,"Meles_dimitrius","species","Europe"
31089,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Baranogale","indet.",5,5.3,"Baranogale","genus","Europe"
24101,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Pannonictis","rumana",3.55,7.6,"Pannonictis_rumana","species","Europe"
27541,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Enhydrictis","galictoides",0.0117,3.55,"Enhydrictis_galictoides","species","Europe"
21802,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Parameles","suillus",2.5,3.55,"Parameles_suillus","species","Europe | Asia"
22590,"Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","ruscinensis",3.025,3.55,"Ursus_ruscinensis","species","Europe"
33666,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Eucyon","minor",1.778,5.333,"Eucyon_minor","species","Europe | Asia"
34922,"Eutheria","Carnivora","Caniformia","Mustelidae","Melini","Arctomeles","indet.",3.025,3.55,"Arctomeles","genus","Europe"
35395,"Eutheria","Carnivora","Caniformia","Ailuridae","Ailurinae","Parailurus","baikalicus",3.025,3.55,"Parailurus_baikalicus","species","Europe"
22328,"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Acinonyx","indet.",0.01,5.333,"Acinonyx","genus","Europe | Asia | Africa"
22672,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","chihliensis",0.774,4.6,"Canis_chihliensis","species","Europe | Asia"
23951,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Pachycrocuta","brevirostris",0,3.55,"Pachycrocuta_brevirostris","species","Europe | Asia"
30033,"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Lynx","shansius",0.774,5.333,"Lynx_shansius","species","Europe | Asia"
22611,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Pannonictis","pachygnatha",1.15317,3.275,"Pannonictis_pachygnatha","species","Asia"
23945,"Eutheria","Carnivora","Feliformia","Felidae","indet.","Viretailurus","indet.",2.725,3.275,"Viretailurus","genus","Asia"
22876,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Eucyon","kuruksaensis",1.9,3.025,"Eucyon_kuruksaensis","species","Asia"
25328,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Meles","meles",0,2.58,"Meles_meles","species","Asia | Europe"
32418,"Eutheria","Carnivora","Caniformia","Canidae","indet.","Xenocyon","lycaonoides",0.0117,1.981,"Xenocyon_lycaonoides","species","Asia | Europe"
23032,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Pachycrocuta","indet.",0.761,5.333,"Pachycrocuta","genus","Asia | Europe | Africa"
22935,"Eutheria","Carnivora","Feliformia","Viverridae","indet.","Lophocyon","paraskevaidisi",14.775,17.235,"Lophocyon_paraskevaidisi","species","Europe"
22961,"Eutheria","Carnivora","indet.","Percrocutidae","indet.","Dinocrocuta","salonicae",9.9,11.2,"Dinocrocuta_salonicae","species","Europe"
86872,"Eutheria","Carnivora","Feliformia","Felidae","indet.","Pristifelis","indet.",7.454,7.489,"Pristifelis","genus","Europe"
23134,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Ysengrinia","tolosana",21.7,23.86,"Ysengrinia_tolosana","species","Europe"
23150,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberogale","ginesticus",19.5,23,"Phoberogale_ginesticus","species","Europe"
23152,"Eutheria","Carnivora","Caniformia","Amphicyonidae","indet.","Haplocyon","elegans",19.5,23,"Haplocyon_elegans","species","Europe"
23153,"Eutheria","Carnivora","Caniformia","Amphicyonidae","indet.","Haplocyon","crucians",19.5,23,"Haplocyon_crucians","species","Europe"
23158,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","solidus",21.7,23,"Plesictis_solidus","species","Europe"
23159,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","palustris",19.5,23,"Plesictis_palustris","species","Europe"
23160,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","cultellatus",21.7,23,"Plesictis_cultellatus","species","Europe"
23296,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Cynelos","crassidens",19.5,23.86,"Cynelos_crassidens","species","Europe"
24469,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Amphicyon","astrei",19.5,23,"Amphicyon_astrei","species","Europe"
24488,"Eutheria","Carnivora","indet.","Ursidae","indet.","Melursus","ursinus",21.7,23,"Melursus_ursinus","species","Europe"
23163,"Eutheria","Carnivora","Feliformia","Felidae","indet.","Proailurus","lemanensis",19.5,23.26,"Proailurus_lemanensis","species","Europe"
23297,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Cynelos","rugosidens",17.2,27.24,"Cynelos_rugosidens","species","Europe"
23298,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Cynelos","lemanensis",18.35,21.7,"Cynelos_lemanensis","species","Europe"
23300,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberogale","depereti",19.5,21.7,"Phoberogale_depereti","species","Europe"
23301,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Cephalogale","gracile",19.5,21.7,"Cephalogale_gracile","species","Europe"
23302,"Eutheria","Carnivora","indet.","Stenoplesictidae","indet.","Stenogale","julieni",19.5,24.56,"Stenogale_julieni","species","Europe"
23303,"Eutheria","Carnivora","indet.","Stenoplesictidae","indet.","Stenogale","brevidens",19.5,21.7,"Stenogale_brevidens","species","Europe"
23304,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Bathygale","lemanensis",19.5,21.7,"Bathygale_lemanensis","species","Europe"
23305,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","julieni",19.5,21.7,"Plesictis_julieni","species","Europe"
23306,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","stenoplesictoides",19.5,21.7,"Plesictis_stenoplesictoides","species","Europe"
23307,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Plesiogale","angustifrons",17.2,21.7,"Plesiogale_angustifrons","species","Europe"
23308,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Paragale","huerzeleri",19.5,21.7,"Paragale_huerzeleri","species","Europe"
23309,"Eutheria","Carnivora","Caniformia","Ailuridae","indet.","Amphictis","lemanensis",19.5,21.7,"Amphictis_lemanensis","species","Europe"
23310,"Eutheria","Carnivora","Caniformia","Ailuridae","indet.","Amphictis","antiqua",17.2,21.7,"Amphictis_antiqua","species","Europe"
23311,"Eutheria","Carnivora","indet.","Herpestidae","indet.","Herpestides","antiquus",19.5,21.7,"Herpestides_antiquus","species","Europe"
24480,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Ysengrinia","gerandiana",19.5,21.7,"Ysengrinia_gerandiana","species","Europe"
23326,"Eutheria","Carnivora","Caniformia","Amphicyonidae","indet.","Haplocyonoides","mordax",17.2,21.7,"Haplocyonoides_mordax","species","Europe"
23327,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Ysengrinia","indet.",16.4,21.7,"Ysengrinia","genus","Europe | Africa"
23328,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","laugnacensis",19.5,21.7,"Plesictis_laugnacensis","species","Europe"
23329,"Eutheria","Carnivora","Caniformia","Ailuridae","indet.","Amphictis","aginensis",19.5,21.7,"Amphictis_aginensis","species","Europe"
23330,"Eutheria","Carnivora","indet.","Herpestidae","indet.","Herpestides","collectus",19.5,21.7,"Herpestides_collectus","species","Europe"
24510,"Eutheria","Carnivora","Feliformia","Viverridae","indet.","Semigenetta","laugnacensis",17.2,21.7,"Semigenetta_laugnacensis","species","Europe"
23734,"Eutheria","Carnivora","Caniformia","Amphicyonidae","indet.","Haplocyon","indet.",19.5,23.86,"Haplocyon","genus","Europe"
23735,"Eutheria","Carnivora","Caniformia","Amphicyonidae","indet.","Crassidia","intermedia",19.5,21.7,"Crassidia_intermedia","species","Europe"
23736,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Cephalogale","indet.",17.2,32.63,"Cephalogale","genus","Europe | Asia"
23737,"Eutheria","Carnivora","indet.","Herpestidae","indet.","Herpestides","indet.",0.129,21.7,"Herpestides","genus","Europe | Africa"
31479,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Adcrocuta","eximia",5.3,8.108,"Adcrocuta_eximia","species","Asia"
33590,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Thalassictis","indet.",5.3,7.1,"Thalassictis","genus","Asia"
33591,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Adcrocuta","indet.",5.3,7.1,"Adcrocuta","genus","Asia"
21758,"Eutheria","Carnivora","indet.","Ursidae","Ursinae","Indarctos","sinensis",5.3,8.9,"Indarctos_sinensis","species","Asia"
21760,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Proputorius","lufengensis",7.1,7.6,"Proputorius_lufengensis","species","Asia"
21761,"Eutheria","Carnivora","Caniformia","Mustelidae","Lutrinae","Sivaonyx","bathygnathus",7.1,7.6,"Sivaonyx_bathygnathus","species","Asia"
21762,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Lutra","indet.",0,8.9,"Lutra","genus","Asia | Europe | Africa"
21764,"Eutheria","Carnivora","Feliformia","Felidae","Machairodontinae","Machairodus","fires",7.1,7.6,"Machairodus_fires","species","Asia"
31736,"Eutheria","Carnivora","indet.","Ursidae","indet.","Ailurarctos","lufengensis",7.1,7.6,"Ailurarctos_lufengensis","species","Asia"
31737,"Eutheria","Carnivora","Feliformia","Felidae","Machairodontinae","Homotherium","fires",7.1,7.6,"Homotherium_fires","species","Asia"
31738,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","indet.","indet.",7.1,7.6,"indet.","family","Asia"
31739,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","indet.","indet.",7.1,7.6,"indet.","family","Asia"
31740,"Eutheria","Carnivora","indet.","Ursidae","Ursinae","Ursavus","sylvestris",7.1,7.6,"Ursavus_sylvestris","species","Asia"
