"pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_internal_synonym","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_identified_no","pbdb_accepted_no","pbdb_old_genus","pbdb_rest"
"Chrysocyon_n._sp._nearcticus",NA,"Chrysocyon_nearcticus","Chrysocyon_nearcticus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Chrysocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41202,NA,300808,300808,"Chrysocyon","nearcticus"
"Urocyon_n._sp._galushai",NA,"Urocyon_galushai","Urocyon_galushai","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Urocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41247,NA,300802,300802,"Urocyon","galushai"
"Canis_cf._latrans",NA,"Canis_latrans","Canis_latrans","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,"cf.",33815,36651,36905,41189,41198,NA,44854,44854,"Canis","latrans"
"Canis_n._sp._thooides",NA,"Canis_thooides","Canis_thooides","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41198,NA,301914,301914,"Canis","thooides"
"Puma_concolor",NA,"Puma_concolor","Puma_concolor","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Puma",NA,NA,NA,NA,33815,36651,36905,41045,41073,NA,51265,46513,"Puma","concolor"
"Borophagus_cf._diversidens",NA,"Borophagus_diversidens","Borophagus_diversidens","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Borophagus",NA,NA,NA,"cf.",33815,36651,36905,41189,41196,NA,44593,44593,"Borophagus","diversidens"
"Canis_lepophagus",NA,"Canis_lepophagus","Canis_lepophagus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,44856,44856,"Canis","lepophagus"
"Cerdocyon_avius","recombined as","Ferrucyon_avius","Ferrucyon_avius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Ferrucyon",NA,NA,NA,NA,33815,36651,36905,41189,424818,NA,300807,300807,"Ferrucyon","avius"
"Miracinonyx_studeri_?",NA,"Miracinonyx_studeri","Miracinonyx_studeri","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Miracinonyx",NA,NA,NA,"?",33815,36651,36905,41045,257652,NA,48772,46529,"Miracinonyx","studeri"
"Smilodon_gracilis",NA,"Smilodon_gracilis","Smilodon_gracilis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Smilodon",NA,NA,NA,NA,33815,36651,36905,41045,41079,NA,51615,51615,"Smilodon","gracilis"
