"MDD_syn_ID","SIDNUM","MDD_species","MDD_root_name","MDD_original_combination","now_accepted_name","string_distance","match_notes","MDD_family","FAMILY","MDD_continent","now_continent","MIN_AGE","MAX_AGE","MDD_species_id","MDD_author","MDD_year","MDD_authority_parentheses","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","SUBFAMILY","GENUS","SPECIES","now_accepted_rank","accepted_match"
100006741,32957,"Genetta_tigrina","tigrina","Viverra_tigrina","Genetta_tigrina",0,"exact match (mdd accepted, now accepted)","Viverridae","Viverridae","Africa","Africa",0.0117,1.9,1006088,"von Schreber",1776,1,"Eutheria","Carnivora","Feliformia","indet.","Genetta","tigrina","species",TRUE
100005294,25243,"Gulo_gulo","gulo","Mustela_gulo","Gulo_gulo",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia|Europe|North America","Europe",0,0.3,1005816,"Linnaeus",1758,1,"Eutheria","Carnivora","Caniformia","indet.","Gulo","gulo","species",TRUE
100006133,26222,"Halichoerus_grypus","grypus","Phoca_grypus","Halichoerus_grypus",0,"exact match (mdd accepted, now accepted)","Phocidae","Phocidae","Europe|North America","Europe",0,0.0117,1005913,"O. Fabricius",1791,1,"Eutheria","Carnivora","Pinnipedia","indet.","Halichoerus","grypus","species",TRUE
100006410,31302,"Helarctos_malayanus","malayanus","Ursus_malayanus","Helarctos_malayanus",0,"exact match (mdd accepted, now accepted)","Ursidae","Ursidae","Asia","Asia",0,1.9,1005932,"Raffles",1821,1,"Eutheria","Carnivora","indet.","indet.","Helarctos","malayanus","species",TRUE
100004777,86170,"Helogale_parvula","parvula","Herpestes_parvulus","Helogale_parvula",0,"exact match (mdd accepted, now accepted)","Herpestidae","Herpestidae","Africa","Africa",0,0,1006066,"Sundevall",1847,1,"Eutheria","Carnivora","indet.","indet.","Helogale","parvula","species",TRUE
100004279,85105,"Herpailurus_yagouaroundi","yagouaroundi","Felis_yagouaroundi","Herpailurus_yagouaroundi",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","North America|South America","Americas",0.1,1.1,1005991,"É. Geoffroy Saint-Hilaire",1803,1,"Eutheria","Carnivora","Feliformia","Felinae","Herpailurus","yagouaroundi","species",TRUE
100004828,29205,"Herpestes_sanguineus","sanguineus","Herpestes_sanguineus","Herpestes_sanguineus",0,"exact match (mdd accepted, now accepted)","Herpestidae","Herpestidae","Africa","Africa",0.0117,1.9,1006046,"Rüppell",1836,0,"Eutheria","Carnivora","indet.","indet.","Herpestes","sanguineus","species",TRUE
100005314,29208,"Hydrictis_maculicollis","maculicollis","Lutra_maculicollis","Hydrictis_maculicollis",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Africa","Africa",1.785,1.845,1005843,"H. Lichtenstein",1835,1,"Eutheria","Carnivora","Caniformia","Lutrinae","Hydrictis","maculicollis","species",TRUE
100006140,87034,"Hydrurga_leptonyx","leptonyx","Phoca_leptonyx","Hydrurga_leptonyx",0,"exact match (mdd accepted, now accepted)","Phocidae","Phocidae","Africa|Antarctica|Oceania (Continent)|South America","Africa",0.0125,0.0376,1005915,"de Blainville",1820,1,"Eutheria","Carnivora","Pinnipedia","Monachinae","Hydrurga","leptonyx","species",TRUE
100005324,86122,"Ictonyx_striatus","striatus","Bradypus_striatus","Ictonyx_striatus",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Africa","Africa",0.16,1.677,1005835,"Perry",1810,1,"Eutheria","Carnivora","Caniformia","indet.","Ictonyx","striatus","species",TRUE
100004396,35332,"Leptailurus_serval","serval","Felis_serval","Leptailurus_serval",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Africa","Africa",0.129,0.774,1006005,"von Schreber",1776,1,"Eutheria","Carnivora","Feliformia","Felinae","Leptailurus","serval","species",TRUE
100003763,86301,"Lupulella_mesomelas","mesomelas","Canis_mesomelas","Lupulella_mesomelas",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Africa","Africa",0.9792,1.4,1005953,"von Schreber",1775,1,"Eutheria","Carnivora","Caniformia","Caninae","Lupulella","mesomelas","species",TRUE
100005430,25454,"Lutra_lutra","lutra","Mustela_lutra","Lutra_lutra",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Africa|Asia|Europe","Asia | Europe",0,1.29585,1005848,"Linnaeus",1758,1,"Eutheria","Carnivora","Caniformia","indet.","Lutra","lutra","species",TRUE
100005461,34109,"Lutra_perspicillata","perspicillata","Lutra_perspicillata","Lutra_perspicillata",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.0117,1.9,1005851,"I. Geoffroy Saint-Hilaire",1826,0,"Eutheria","Carnivora","Caniformia","indet.","Lutra","perspicillata","species",TRUE
100005468,34152,"Lutra_sumatrana","sumatrana","Barangia_sumatrana","Lutra_sumatrana",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.0117,1.9,1005850,"J. E. Gray",1865,1,"Eutheria","Carnivora","Caniformia","indet.","Lutra","sumatrana","species",TRUE
100003813,35322,"Lycaon_pictus","pictus","Hyaena_picta","Lycaon_pictus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Africa","Africa",0,1.9,1005960,"Temminck",1820,1,"Eutheria","Carnivora","Caniformia","indet.","Lycaon","pictus","species",TRUE
100004452,25688,"Lynx_pardinus","pardinus","Felis_pardina","Lynx_pardinus",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Europe","Europe",0.03,1.778,1006008,"Temminck",1825,1,"Eutheria","Carnivora","Feliformia","Felinae","Lynx","pardinus","species",TRUE
100005487,86628,"Martes_caurina","caurina","Mustela_caurina","Martes_caurina",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","North America","Americas",0,0.0117,1005818,"C. H. Merriam",1890,1,"Eutheria","Carnivora","Caniformia","indet.","Martes","caurina","species",TRUE
100005493,25453,"Martes_flavigula","flavigula","Mustela_flavigula","Martes_flavigula",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Europe | Asia",0,1.29585,1005819,"Boddaert",1785,1,"Eutheria","Carnivora","Caniformia","indet.","Martes","flavigula","species",TRUE
100005493,29826,"Martes_flavigula","flavigula","Mustela_flavigula","Martes_flavigula",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.774,1.376,1005819,"Boddaert",1785,1,"Eutheria","Carnivora","Caniformia","indet.","Martes","flavigula","species",TRUE
100005552,25452,"Martes_zibellina","zibellina","Mustela_zibellina","Martes_zibellina",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia|Europe","Europe",0,0.0425,1005824,"Linnaeus",1758,1,"Eutheria","Carnivora","Caniformia","indet.","Martes","zibellina","species",TRUE
100005591,29839,"Meles_leucurus","leucurus","Taxidia_leucurus","Meles_leucurus",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia|Europe","Asia",0.0102,1.6594,1005858,"B. H. Hodgson",1847,1,"Eutheria","Carnivora","Caniformia","indet.","Meles","leucurus","species",TRUE
100005653,86659,"Melogale_moschata","moschata","Helictis_moschata","Melogale_moschata",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.32,0.73,1005828,"J. E. Gray",1831,1,"Eutheria","Carnivora","Caniformia","indet.","Melogale","moschata","species",TRUE
100005659,34153,"Melogale_orientalis","orientalis","Gulo_orientalis","Melogale_orientalis",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.0117,1.9,1005829,"Horsfield",1821,1,"Eutheria","Carnivora","Caniformia","indet.","Melogale","orientalis","species",TRUE
100004089,34654,"Mungotictis_decemlineata","decemlineata","Galidia_decemlineata","Mungotictis_decemlineata",0,"exact match (mdd accepted, now accepted)","Eupleridae","Eupleridae","Africa","Africa",0,0.0117,1006034,"A. Grandidier",1867,1,"Eutheria","Carnivora","indet.","Galidiinae","Mungotictis","decemlineata","species",TRUE
100005679,25271,"Mustela_erminea","erminea","Mustela_erminea","Mustela_erminea",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia|Europe|North America","Europe | Asia",0,0.781,1005863,"Linnaeus",1758,0,"Eutheria","Carnivora","Caniformia","indet.","Mustela","erminea","species",TRUE
100005755,84479,"Mustela_lutreola","lutreola","Viverra_lutreola","Mustela_lutreola",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Europe","Europe",0.478,0.781,1005870,"Linnaeus",1761,1,"Eutheria","Carnivora","Caniformia","indet.","Mustela","lutreola","species",TRUE
