"","now_accepted_sist_subclass_superorder","now_accepted_sist_order","now_accepted_sist_suborder_superfamily","now_accepted_sist_family","now_accepted_sist_subfamily_tribe","now_accepted_sist_genus","now_accepted_sist_epithet","now_accepted_name","now_accepted_rank"
"1248","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Eomellivora","moralesi","Eomellivora_moralesi","Species"
"1249","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Eomellivora","tugenensis","Eomellivora_tugenensis","Species"
"1250","Eutheria","Carnivora","indet.","Mustelidae","Lutrinae","Vishnuonyx","chinjiensis","Vishnuonyx_chinjiensis","Species"
"1251","Eutheria","Carnivora","indet.","Mustelidae","Lutrini","Mionictis","angustidens","Mionictis_angustidens","Species"
"1252","Eutheria","Carnivora","indet.","Mustelidae","indet.","Hadrictis","fricki","Hadrictis_fricki","Species"
"1253","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Hoplictis","grangerensis","Hoplictis_grangerensis","Species"
"1254","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Hoplictis","indet.","Hoplictis","Genus"
"1255","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Protoprocyon","savagei","Protoprocyon_savagei","Species"
"1256","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","webbi","Leptarctus_webbi","Species"
"1257","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Sthenictis","lacota","Sthenictis_lacota","Species"
"1258","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Arctonasua","floridana","Arctonasua_floridana","Species"
"1259","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Paranasua","biradica","Paranasua_biradica","Species"
"1260","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Sthenictis","junturensis","Sthenictis_junturensis","Species"
"1261","Eutheria","Carnivora","indet.","Mustelidae","indet.","Hydrocyon","indet.","Hydrocyon","Genus"
"1262","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Hypsoparia","bozemanensis","Hypsoparia_bozemanensis","Species"
"1263","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Plionictis","kinseyi","Plionictis_kinseyi","Species"
"1264","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Hypsoparia","timmi","Hypsoparia_timmi","Species"
"1265","Eutheria","Carnivora","indet.","Mustelidae","indet.","Iberictis","azanzae","Iberictis_azanzae","Species"
"1266","Eutheria","Carnivora","indet.","Mustelidae","Lutrini","indet.","indet.","indet.","Subfamily_tribe"
