"MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_family","MDD_genus","MDD_species","MDD_validity","MDD_original_combination","MDD_author","MDD_year","MDD_authority_parentheses","MDD_actual_rank","MDD_continent"
1005975,100049881,"somalize","Carnivora","Canidae","Vulpes","Vulpes_rueppellii","synonym","somalize","Wozencraft",2005,"0","epithet","Africa|Asia"
1005977,100049883,"kamtschadensis","Carnivora","Canidae","Vulpes","Vulpes_vulpes","synonym","kamtschadensis","Wozencraft",2005,"0","epithet","Africa|Asia|Europe|North America"
1005977,100049885,"kiyomassai","Carnivora","Canidae","Vulpes","Vulpes_vulpes","synonym","kiyomassai","Wozencraft",2005,"0","epithet","Africa|Asia|Europe|North America"
1005977,100049887,"krymeamontana","Carnivora","Canidae","Vulpes","Vulpes_vulpes","synonym","krymeamontana","Wozencraft",2005,"0","epithet","Africa|Asia|Europe|North America"
1005977,100049884,"pennsylvanicus","Carnivora","Canidae","Vulpes","Vulpes_vulpes","synonym","pennsylvanicus","Wozencraft",2005,"0","epithet","Africa|Asia|Europe|North America"
1005977,100049886,"rubricos","Carnivora","Canidae","Vulpes","Vulpes_vulpes","synonym","rubricos","Wozencraft",2005,"0","epithet","Africa|Asia|Europe|North America"
1005977,100049882,"variegates","Carnivora","Canidae","Vulpes","Vulpes_vulpes","synonym","variegates","Wozencraft",2005,"0","epithet","Africa|Asia|Europe|North America"
1005979,100004098,"jubatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","species","Felis_jubata","von Schreber",1775,"1","species","Africa|Asia"
1005979,100030732,"guepard","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_guepard","P. L. S. Müller",1776,"1","species","Africa|Asia"
1005979,100028655,"iubatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_iubata","Erxleben",1777,"1","species","Africa|Asia"
1005979,100004099,"guttatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_guttata","Hermann",1804,"1","species","Africa|Asia"
1005979,100004100,"venaticus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_venatica","Griffith",1822,"1","species","Africa|Asia"
1005979,100004101,"venator","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_venator","Brookes",1828,"0","species","Africa|Asia"
1005979,100004102,"fearonii","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_fearonii","A. Smith",1834,"1","species","Africa|Asia"
1005979,100048709,"guttatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Cynofelis_guttata","Lesson",1842,"1","species","Africa|Asia"
1005979,100048695,"jubatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Cynailurus_jubatus","Lesson",1842,"1","species","Africa|Asia"
1005979,100048708,"jubatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Cynofelis_jubata","Lesson",1842,"1","species","Africa|Asia"
1005979,100048671,"guttatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Cynailurus_guttatus","Fitzinger",1855,"1","species","Africa|Asia"
1005979,100004104,"soemmeringii","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Cynailurus_soemmeringii","Fitzinger",1855,"1","species","Africa|Asia"
1005979,100058202,"sacanneringii","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_sacanneringii","Severtzov",1858,"1","species","Africa|Asia"
1005979,100004105,"megabalicus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_megabalica","von Heuglin",1863,"1","species","Africa|Asia"
1005979,100052709,"guttatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Gueparda_guttata","J. E. Gray",1867,"1","species","Africa|Asia"
1005979,100029328,"fearonis","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_fearonis","Fitzinger",1869,"1","species","Africa|Asia"
1005979,100004106,"laneus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Felis_lanea","P. L. Sclater",1877,"1","species","Africa|Asia"
1005979,100047495,"guttatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Cynaelurus_guttatus","Matschie",1895,"1","species","Africa|Asia"
1005979,100030866,"guepard","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_guepard","T. S. Palmer",1904,"0","species","Africa|Asia"
1005979,100046489,"jubatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Cynaelurus_jubatus","Satunin",1905,"1","species","Africa|Asia"
1005979,100004109,"guepard","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_guepard","Hilzheimer",1913,"0","species","Africa|Asia"
1005979,100004110,"hecki","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_hecki","Hilzheimer",1913,"0","species","Africa|Asia"
1005979,100004113,"raddei","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_raddei","Hilzheimer",1913,"0","species","Africa|Asia"
1005979,100004114,"wagneri","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_wagneri","Hilzheimer",1913,"0","species","Africa|Asia"
1005979,100004115,"rex","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_rex","Pocock",1927,"0","species","Africa|Asia"
1005979,100054941,"rex","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Paracinonyx_rex","M. Kretzoi",1929,"1","species","Africa|Asia"
1005979,100034901,"jubatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_jubatus","Pocock",1929,"0","species","Africa|Asia"
1005979,100059468,"venaticus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_venaticus","Dollman",1932,"0","species","Africa|Asia"
1005979,100051427,"jubatus","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acinonyx_jubata","S. S. Flower",1932,"0","species","Africa|Asia"
1005979,100046288,"hecki","Carnivora","Felidae","Acinonyx","Acinonyx_jubatus","synonym","Acynonyx_hecki","Zimara",1935,"0","species","Africa|Asia"
